version,session,click_on_target
Interact,1,FALSE
Interact,2,FALSE
Interact,3,FALSE
Interact,4,FALSE
Interact,5,FALSE
Interact,6,FALSE
Interact,7,FALSE
Interact,8,FALSE
Interact,9,FALSE
Interact,10,FALSE
Interact,11,FALSE
Interact,12,FALSE
Interact,13,FALSE
Interact,14,FALSE
Interact,15,FALSE
Interact,16,FALSE
Interact,17,FALSE
Interact,18,FALSE
Interact,19,FALSE
Interact,20,FALSE
Interact,21,FALSE
Interact,22,FALSE
Interact,23,FALSE
Interact,24,FALSE
Interact,25,FALSE
Interact,26,FALSE
Interact,27,FALSE
Interact,28,FALSE
Interact,29,FALSE
Interact,30,FALSE
Interact,31,FALSE
Interact,32,FALSE
Interact,33,FALSE
Interact,34,FALSE
Interact,35,FALSE
Interact,36,FALSE
Interact,37,FALSE
Interact,38,FALSE
Interact,39,FALSE
Interact,40,FALSE
Interact,41,FALSE
Interact,42,FALSE
Interact,43,FALSE
Interact,44,FALSE
Interact,45,FALSE
Interact,46,FALSE
Interact,47,FALSE
Interact,48,FALSE
Interact,49,FALSE
Interact,50,FALSE
Interact,51,FALSE
Interact,52,FALSE
Interact,53,FALSE
Interact,54,FALSE
Interact,55,FALSE
Interact,56,FALSE
Interact,57,FALSE
Interact,58,FALSE
Interact,59,FALSE
Interact,60,FALSE
Interact,61,FALSE
Interact,62,FALSE
Interact,63,FALSE
Interact,64,FALSE
Interact,65,FALSE
Interact,66,FALSE
Interact,67,FALSE
Interact,68,FALSE
Interact,69,FALSE
Interact,70,FALSE
Interact,71,FALSE
Interact,72,FALSE
Interact,73,TRUE
Interact,74,FALSE
Interact,75,FALSE
Interact,76,FALSE
Interact,77,FALSE
Interact,78,FALSE
Interact,79,FALSE
Interact,80,FALSE
Interact,81,FALSE
Interact,82,FALSE
Interact,83,FALSE
Interact,84,FALSE
Interact,85,FALSE
Interact,86,FALSE
Interact,87,FALSE
Interact,88,FALSE
Interact,89,FALSE
Interact,90,FALSE
Interact,91,FALSE
Interact,92,FALSE
Interact,93,FALSE
Interact,94,FALSE
Interact,95,FALSE
Interact,96,FALSE
Interact,97,FALSE
Interact,98,FALSE
Interact,99,FALSE
Interact,100,FALSE
Interact,101,FALSE
Interact,102,FALSE
Interact,103,FALSE
Interact,104,FALSE
Interact,105,TRUE
Interact,106,FALSE
Interact,107,FALSE
Interact,108,FALSE
Interact,109,FALSE
Interact,110,FALSE
Interact,111,FALSE
Interact,112,FALSE
Interact,113,FALSE
Interact,114,FALSE
Interact,115,FALSE
Interact,116,FALSE
Interact,117,FALSE
Interact,118,FALSE
Interact,119,FALSE
Interact,120,FALSE
